actual dist,angle,var
3.25-3.5,1.0-1.2,0.000758545286024
3.25-3.5,1.2-1.4,0.00077787117217
3.25-3.5,1.2-1.4,0.000611577083813
3.25-3.5,1.2-1.4,0.000443208930233
3.25-3.5,1.4-1.6,0.000255591293729
3.25-3.5,1.4-1.6,0.000268495347649
3.25-3.5,1.4-1.6,0.000340715309463
3.25-3.5,1.2-1.4,0.00025341416244
3.25-3.5,1.2-1.4,0.000271351694036
3.25-3.5,1.2-1.4,0.00042666866567
3.25-3.5,1.0-1.2,0.000369654326365
3.25-3.5,0.8-1.0,0.00034022367672
3.25-3.5,0.8-1.0,0.000357997994941
3.25-3.5,0.8-1.0,0.000507600470779
3.25-3.5,0.6-0.8,0.000796655239832
3.25-3.5,0.6-0.8,0.000714489979039
3.25-3.5,0.4-0.6,0.000564931305072
3.25-3.5,0.4-0.6,0.000641357372727
3.25-3.5,0.2-0.4,0.000272020556197
3.25-3.5,0.2-0.4,0.000510030925785
3.25-3.5,0.2-0.4,0.000398407221093
3.25-3.5,0.0-0.2,0.000256381570886
3.25-3.5,0.0-0.2,0.000226612010916
3.25-3.5,0.0-0.2,0.000486407840355
3.25-3.5,0.0-0.2,0.000774843885802
3.25-3.5,0.0-0.2,0.00105844672499
3.25-3.5,0.2-0.4,0.000895474406662
3.25-3.5,0.2-0.4,0.00116405176036
3.25-3.5,0.4-0.6,0.0008095719493
3.25-3.5,0.4-0.6,0.000780792399488
3.25-3.5,0.6-0.8,0.000222060436963
3.25-3.5,0.6-0.8,0.000493905268051
3.25-3.5,0.8-1.0,0.000206509870911
3.25-3.5,0.8-1.0,0.000694465817615
3.25-3.5,1.0-1.2,0.000637694827707
3.25-3.5,1.0-1.2,0.00107835281556
3.25-3.5,1.2-1.4,0.000995975892507
3.25-3.5,1.2-1.4,0.000436800708197
3.25-3.5,1.2-1.4,0.000383158762174
3.25-3.5,1.4-1.6,0.000185223544684
3.25-3.5,1.4-1.6,0.000665683433983
3.25-3.5,1.4-1.6,0.000681699654679
3.25-3.5,1.4-1.6,0.00167831958166
3.25-3.5,1.4-1.6,0.00160556482354
3.25-3.5,1.2-1.4,0.00207420431627
3.25-3.5,1.2-1.4,0.00153613971006
3.25-3.5,1.2-1.4,0.00135616746935
3.25-3.5,1.0-1.2,0.00106140888964
3.25-3.5,1.0-1.2,0.00103509313587
3.25-3.5,1.0-1.2,0.000962692509243
3.25-3.5,0.8-1.0,0.00108658614876
3.25-3.5,0.8-1.0,0.000507958958577
3.25-3.5,0.6-0.8,0.000443686323294
3.25-3.5,0.6-0.8,0.000546849929628
3.25-3.5,0.6-0.8,0.000479121319379
3.25-3.5,0.4-0.6,0.000773595315476
